description,technical_code
Anchoring-Anchoring Ancillary-Anchoring Spring Buoy-Spring Buoy-Spring Buoy,ANA01
Anchoring-Anchoring Ancillary-Anchor Line Accessories-Anchor Line Accessories-Anchor Line Accessories,ANA03
Anchoring-Anchoring Ancillary-Anchor Clump Weights-Anchor Clump Weights-Anchor Clump Weights,ANA04
Anchoring-Anchor Point-Gravity Base Anchor-Gravity Base Anchor-Gravity Base Anchor,ANC01
Anchoring-Anchor Point-MAG Anchor-MAG Anchor-MAG Anchor,ANC02
Anchoring-Anchor Point-VLA Anchor-VLA Anchor-VLA Anchor,ANC03
Anchoring-Anchor Point-Drilled Grouted Pile-Drilled Grouted Pile-Drilled Grouted Pile,ANC04
Anchoring-Anchor Point-Driven Pile-Driven Pile-Driven Pile,ANC05
Anchoring-Anchor Point-Suction Pile-Suction Pile-Suction Pile,ANC06
Anchoring-Anchor Point-Torpedo Anchor-Torpedo Anchor-Torpedo Anchor,ANC07
Anchoring-Anchor Line-Anchoring Chain-Chain-Chain,ANL01
Anchoring-Anchor Line-Anchoring Polyester Rope-Polyester Rope-Polyester Rope,ANL02
Anchoring-Anchor Line-Anchoring Steel Wire Rope-Steel Wire Rope-Steel Wire Rope,ANL03
Architectural-Building-Accommodation-Accommodation-Accommodation,ARB01
Architectural-Building-Laboratory Building-Laboratory Building-Laboratory Building,ARB02
Architectural-Building-Warehouse-Warehouse-Warehouse,ARB03
Architectural-Building-Workshop-Workshop-Workshop,ARB04
Architectural-Building-Temporary Refuge-Temporary Refuge-Temporary Refuge,ARB05
Architectural-Building-Electrical Building-Electrical Building-Electrical Building,ARB06
Architectural-Outfitting-Garbage Compactor-Compactor-Compactor,ARO01
Architectural-Outfitting-Galley Equipment-Galley equipment-Galley equipment,ARO02
Architectural-Outfitting-Laundry Equipment-Laundry equipment-Laundry equipment,ARO04
Architectural-Outfitting-Shredder-Shredder-Shredder,ARO05
Architectural-Outfitting-Workshop Equipment-Workshop equipment-Workshop equipment,ARO06
Electrical-Electrical Ancillary-Electrical Battery Charger-Electrical Battery Charger-Electrical Battery Charger,ELA09
Electrical-Electrical Ancillary-Cable Drum-Cable Drum-Cable Drum,ELA02
Electrical-Electrical Ancillary-Electrical Isolator-Electrical Isolator-Electrical Isolator,ELA03
Electrical-Electrical Ancillary-Multi Cable Transit-Multi Cable Transit-Multi Cable Transit,ELA04
Electrical-Electrical Ancillary-Emergency Push Button-Emergency Push Button-Emergency Push Button,ELA05
Electrical-Electrical Ancillary-Windsock-Windsock-Windsock,ELA08
Electrical-Electrical Ancillary-Photocell-Photocell-Photocell,ELA07
Electrical-Electrical Ancillary-Electrical Bus Bar-Electrical Bus Bar-Electrical Bus Bar,ELA06
Electrical-Electrical Ancillary-Electrical Bus Bar-Electrical Bus Bar-Electrical Bus Bar,ELA06
Electrical-Battery-Electrical Battery UPS-Electrical Battery UPS-Electrical Battery UPS,ELU01
Electrical-Electrical Driver-Electrical Motor-Electrical Motor-Electrical Motor,ELD01
Electrical-Electrical Driver-Variable Frequency Drive-Variable Frequency Drive (VFD)-Variable Frequency Drive (VFD),ELD02
Electrical-Lights & Fixtures-Floodlight-Flood Light-Flood Light,ELL01
Electrical-Lights & Fixtures-Lighting Fixture-Lighting Fixture-Lighting Fixture,ELL02
Electrical-Lights & Fixtures-Exit Light-Exit Light-Exit Light,ELL03
Electrical-Motor Ancillary-Motor Anti Condensation Heater-Motor Anti Condensation Heater-Motor Anti Condensation Heater,ELM01
Electrical-Motor Ancillary-Temperature Sensor-Temperature Sensor-Temperature Sensor,ELM02
Electrical-Navaids-Beacon-Beacon-Beacon,ELN01
Electrical-Navaids-Foghorn-Foghorn-Foghorn,ELN02
Electrical-Navaids-Marine Lantern-Marine Lantern-Marine Lantern,ELN03
Electrical-Navaids-Obstruction Light-Obstruction Light-Obstruction Light,ELN04
Electrical-Power Distribution-Battery Circuit-Breaker-Battery Circuit-Breaker-Battery Circuit-Breaker,ELP01
Electrical-Power Distribution-Electrical Control Panel-Control Panel-Control Panel,ELP02
Electrical-Power Distribution-Distribution Board-Distribution Board-Distribution Board,ELP03
Electrical-Power Distribution-Motor Control Center-Motor Control Center-Motor Control Center,ELP04
Electrical-Power Distribution-Power Supply Unit-Power Supply Unit-Power Supply Unit,ELP05
Electrical-Power Distribution-Local Control Station-Local Control Station-Local Control Station,ELP06
