Description,Technical  Class
VARCHAR2(200),https://cis.sbmoffshore.com/sites/XBS/SitePages/IFS.aspx
"VALVE, METERING LIQUID FUEL(V.S.F) FOR ACCESSORY GEAR CASE",VAC99
PINION FOR ACCESSORY GEAR CASE,MED11
BEARING FOR ACCESSORY GEAR CASE,MEI99
BEARING FOR ACCESSORY GEAR CASE,MEI99
BEARING FOR ACCESSORY GEAR CASE,MEI99
"RING, SEAL FOR ACCESSORY GEAR CASE",SCH73
"RING, SEAL FOR ACCESSORY GEAR CASE",SCH73
CAP FOR ACCESSORY GEAR CASE,SPI32
"CLUTCH, OVERRUNNING FOR ACCESSORY GEAR CASE",SCH42
"MOTOR, ELECTRIC(LV) FOR ACCESSORY GEAR CASE",ELD01
"GLASS, SAFE CRASH FOR ANTIFIRE BOTTLES SKID",SCF13
"INDICATOR, LEVEL(VISUAL) FOR ANTIFIRE BOTTLES SKID",ICI02
PLUG(ASSEMBLY) FOR ANTIFIRE BOTTLES SKID,SCH63
ADAPTER(BOMBADATT) FOR SOLENOID VALVE,GMA06
"CYLINDER(S1), WATER, SIZE:HEIGHT 1450 MM DIA 230MM, CAPACITY:50LT, RANGE:200 BAR, CARBON STEEL PAINTED",SAF11
"CYLINDER(S2), WATER, SIZE:HEIGHT 1450 MM DIA 230MM, CAPACITY:50LT, RANGE:200 BAR, CARBON STEEL PAINTED",SAF11
"CYLINDER(S3), WATER, SIZE:HEIGHT 1450 MM DIA 230MM, CAPACITY:50LT, RANGE:200 BAR, CARBON STEEL PAINTED",SAF11
"CYLINDER, NITROGEN(AZOTO), SIZE:HEIGHT 1420 MM DIA 230, CAPACITY:50LT, RANGE:200 BAR, CARBON STEEL PAINTED",SAF11
"PUMP FOR FILLING WATER CYLINDERS, TYPE:MANUAL",MEP99
"PANEL, CONTROL FOR ANTIFIRE BOTTLES SKID",ELP02
"GAUGE, PRESSURE FOR ANTIFIRE BOTTLES SKID",ICG04
"DISC, RUPTURE FOR ANTIFIRE BOTTLES SKID",ICO11
"VALVE, DELTA-P FOR ANTIFIRE BOTTLES SKID",VAP99
"VALVE, SOLENOID FOR ANTIFIRE BOTTLES SKID",ICA04
"SWITCH, LIMIT FOR ANTIFIRE BOTTLES SKID",SCD24
"TRANSMITTER, HIGH PRESSURE FOR ANTIFIRE BOTTLES SKID",ICT07
